Area name,Area budget,,,,,,,,,
Hlíðar,https://betrireykjavik.is/post/44877,4,"64.128814, -21.908511",,Áningarstað á Veðurstofuhæð,Verkefnið felur í sér að bæta núverandi áningarstað á Veðurstofuhæðinni.,Rest area on Veðurstofuhæð,The project entails improving the existing rest area on Veðurstofuhæð.,Miejsce odpoczynku przy Veðurstofa,Projekt zakłada poprawę dotychczasowego miejsca odpoczynku na wzgórzu Biura Meteorologicznego.
Hlíðar,https://betrireykjavik.is/post/44809,7,"64.136428, -21.914321",,Endurbæta leik– og dvalarsvæði á Klambratúni,Verkefnið felur í sér að endurbæta núverand leiksvæði á Klambratúni.,Renovate play and rest area in Klambratún,The project entails renovating the current play area in Klambratún.,Renowacja placu zabaw i rekreacji w Klambratún,Projekt obejmuje renowację obecnego placu zabaw w Klambratún.
Hlíðar,https://betrireykjavik.is/post/44868,40,"64.137600, -21.916264",,Vaðlaug á Klambratún,Verkefnið felur í sér að setja upp vaðlaug á Klambratúni.,Wading pool in Klambratún,The project entails setting up a wading pool in Klambratún.,Brodzik w Klambratún,Projekt zakłada utworzenie brodzika w Klambratún.
Hlíðar,https://betrireykjavik.is/post/44853,2,,,Hjólaviðgerðastandar í hverfinu,Verkefnið felur í sér að setja upp hjólaviðgerðastanda á völdum stöðum í Hlíðahverfi.,Bike repair stations in the neighbourhood,The project entails setting up bike repair stations at select locations in Hlíðar.,Stojak do naprawy rowerów w okolicy,Projekt zakłada instalację stojaków do naprawy rowerów w wybranych lokalizacjach w Hlíðahverfi.
Hlíðar,https://betrireykjavik.is/post/44800,2,"64.136583, -21.914033",,Útigrill á Klömbrum,Verkefnið felur í sér að bæta grillaðstöðuna á Klambratúni með því að fjölga grillum og bekkjum. ,Outdoor barbecues at Klambrar,The project entails improving the barbeque facilities in Klambratún by adding more barbecues and benches.,Grill w Klambratún,Projekt obejmuje ulepszenie miejsca do grillowania w Klambratún poprzez zwiększenie liczby grilli i ławek. 
Hlíðar,https://betrireykjavik.is/post/44849,3,,,Fleiri bekki í hverfið,Verkefnið felur í sér að fjölga bekkjum í Hlíðahverfi.  ,More benches in the neighbourhood,The project entails installing more benches in Hlíðar.,Zwiększenie ilości ławek w dzielnicy,Projekt zakłada zwiększenie ilości ławek w Hlíðahverfi.  
Hlíðar,https://betrireykjavik.is/post/44855,8,"64.128312, -21.903846",,Endurgera leiksvæði milli Veðurstofu og Stigahlíðar,Verkefnið felur í sér að endurgera leiksvæðið milli Veðurstofu og Stigahlíðar.,Renovate play area between Veðurstofa and Stigahlíð,The project entails remaking the play area between Veðurstofa and Stígahlíð.,Przebudowa placu zabaw między Veðurstofa a Stigahlíð,Projekt obejmuje renowację placu zabaw między Biurem Meteorologicznym a Stigahlíð.
Hlíðar,https://betrireykjavik.is/post/44808,45,"64.137140, -21.914166",,Almenningsklósett á Klambratún,Verkefnið felur í sér að setja upp almenningsklósett á Klambratúni samkvæmt skipulagi garðsins.,Public toilets in Klambratún,The project entails setting up public toilets in Klambratún according to the park plan.,Publieczne toalety w Klambratún,Projekt zakłada utworzenie publicznych toalet w Klambratún zgodnie z układem parku.
Hlíðar,https://betrireykjavik.is/post/44810,2,,,Almenningsstæði fyrir rafmagnshlaupahjól,Verkefnið felur í sér að útfæra skilgreind svæði fyrir rafmagnshlaupahjól í hverfinu.,Public parking for electric scooters,The project entails creating a defined area for electric scooters in the neighbourhood.,Miejsce dla hulajnóg elektrycznych,Projekt zakłada wdrożenie w sąsiedztwie wyznaczonego obszaru dla hulajnóg elektrycznych.
Hlíðar,https://betrireykjavik.is/post/44825,10,,,Yfirbyggð hjólastæði í Hlíðunum,Verkefnið felur í sér að setja upp yfirbyggt hjólastæði í Hlíðunum.,Covered bike parking in Hlíðar,The project entails setting up covered bike parking in Hlíðar.,Rozbudowanie miejsca na rowery w Hlíðar,Projekt zakłada utworzenie zadaszonego parkingu rowerowego w Hlíðar.
Hlíðar,https://betrireykjavik.is/post/44867,8,"64.126440, -21.907398",,Endurgera leikvöll í Suðurhlíðunum,Verkefnið felur í sér að endurgera opið leiksvæði við Beykihlíð í Suðurhlíðunum.,Renovate playground in Suðurhlíðar,The project entails renovating the open play area on Beykihlíð in Suðurhlíðar.,Renowacja placu zabaw w Suðurhlíðar,Projekt zakłada odnowienie placu zabaw przy Beykihlíð w Suðurhlíðunum.
Hlíðar,https://betrireykjavik.is/post/44792,8,"64.131660, -21.903561",,Útiæfingatæki við Grænuhlíð,Verkefnið felur í sér að setja upp útiæfingatæki við opið leiksvæði við Grænuhlíð.,Outdoor exercise equipment on Grænuhlíð,The project entails setting up outdoor exercise equipment on Grænuhlíð.,Siłownia pod chmurką przy Grænuhlíð,Projekt zakłada instalację sprzętu do ćwiczeń na otwartym terenie na Grænuhlíð.
Hlíðar,https://betrireykjavik.is/post/44777,1,,,Ungbarnarólur,Verkefnið felur í sér að setja upp rólur með ungbarnasætum á völdum stöðum í hverfinu.,Toddler swings,The project entails setting up swing frames with toddler seats at select locations in the neighbourhood.,Place zabaw dla najmłodszych,Projekt zakłada ustawienie huśtawek z fotelikami dla niemowlakó w wybranych miejscach w okolicy.
Hlíðar,https://betrireykjavik.is/post/44876,4,"64.134109, -21.899764",,Stígatenging frá Bólstaðarhlíð að Kringlumýrarbraut,Verkefnið felur í sér að leggja malarstíg milli Bólstaðarhlíðar og Kringlumýrarbrautar.,Path connecting Bólstaðarhlíð to Kringlumýrarbraut,The project entails laying a gravel path between Bólstaðarhlíð and Kringlumýrarbraut.,Połączenie ścieżek z Bólstaðarhlíð do Kringlumýrarbraut,Projekt obejmuje ułożenie żwirowej ścieżki między Bólstaðarhlíð i Kringlumýrarbraut.
Hlíðar,https://betrireykjavik.is/post/44780,16,,,Parkour völlur,Verkefnið felur í sér að setja upp parkour völl á völdum stað í Hlíðunum.  ,Parkour park,The project entails setting up a parkour park at a select location in Hlíðar.,Tor parkourowy,Projekt zakłada utworzenie toru parkourowego w wybranej w dzielnicy Hlíðar.  
Hlíðar,https://betrireykjavik.is/post/44860,50,"64.136461, -21.910482",,Hjólabrettagarð á Klambratúni,Verkefnið felur í sér að setja upp hjólabrettagarð á Klambratúni.,Skateboard park in Klambratún,The project entails setting up a skateboard park in Klambratún.,Skatepark na Klambratún,Projekt zakłada utworzenie parku dla deskorolek na Klambratún.
Hlíðar,https://betrireykjavik.is/post/44834,2,,,Fleiri blóm í hverfið,Verkefnið felur í sér að gróðursetja fleiri sumarblóm á völdum stöðum í Hlíðahverfi. ,More flowers in the neighbourhood,The project entails planting more summer flowers in select locations in Hlíðahverfi.,Więcej kwiatów w dzielnicy,Projekt zakłada zasadzenie większej ilości kwiatów w wybranych miejscach w Hlíðahverfi. 
Laugardalur,https://betrireykjavik.is/post/28571,10,"64.153643, -21.885415",,Sjósundsaðstaða á Laugarnestanga,Verkefnið felur í sér að setja upp skiptiaðstöðu og kalda sturtu á Laugarnestanga svo nýta megi svæðið til sjósunds.,Sea swimming facilities on Laugarnestangi,The project entails setting up changing facilities and a cold shower on Laugarnestangi to facilitate sea swimming.,Kąpielisko morskie Laugarnestangi,"Projekt zakłada stworzenie miejsca do przebierania oraz zimny prysznic, aby można było zażywać morskich kąpieli."
Laugardalur,https://betrireykjavik.is/post/28821,11,"64.143787, -21.897266",,Bætt aðgengi í Sóltúni við Sólstafi,Verkefnið felur í sér að bæta aðgengi að Waldorfskólanum Sólstöfum með gangstétt og upphækkaðri gönguleið.,Improved accessibility on Sóltún by Sólstafir,The project entails improving accessibility to the Waldorf school Sólstafir with a sidewalk and raised walking path.,Poprawa dostępu do Sóltún przy Sólstafur,Projekt obejmuje poprawę dostępu do szkoły Waldorfskóli Sólstafir z chodnikiem i podwyższoną ścieżką spacerową.
Laugardalur,https://betrireykjavik.is/post/28523,40,"64.131681, -21.858199",,Endurbætur á lóð Vogaskóla,"Verkefnið felur í sér að gera endurbætur á lóð Vogaskóla, skipta út yfirborðsefnum og fjölga leikmöguleikum á lóðinni. ",Improvements to Vogaskóli lot,"The project entails making improvements to the Vogaskóli lot, switching out surface material and adding play equipment.",Renowacja terenu szkoły Vogaskóli,"Projekt polega na wprowadzeniu ulepszeń na terenie Vogaskóli: wymiana nawierzchni, zwiększenie możliwości zabaw. "
Laugardalur,https://betrireykjavik.is/post/28570,18,,,Klifursteinar,Setja upp tvo klifursteina í Laugardalnum sem viðbót við afþreyingu úti við fyrir alla aldurshópa.,Climbing boulders,Set up two climbing boulders in Laugardalur as an addition to the outdoor recreation for all ages.,Głazy wspinaczkowe,Instalacja dwóch głazów wspinaczkowych w Laugardalur jako dodatek do rekreacji dla wszystkich grup wiekowych.
Laugardalur,https://betrireykjavik.is/post/28897,20,"64.143551, -21.900014",,Endurgera leik- og dvalarsvæði við Sóltún,Verkefnið felur í sér að útbúa almenningsgarð með leiktækjum og aðstöðu til útivistar og slökunar.,Renovate play and rest area on Sóltún,The project entails creating a public park with play equipment and facilties for outdoor recreation and relaxation.,Rekonstrukcja placu do zabaw i rekreacji przy Sóltún,Projekt zakłada stworzenie publicznego parku z urządzeniami do zabaw oraz aktywności na świeżym powietrzu i wypoczynku.
Laugardalur,https://betrireykjavik.is/post/45596,6,,,Danspallur,Verkefnið felur í sér að setja upp upphitaðan úti danspall með viðburðarkassa með aðgangi að rafmagni í Laugardalinn.,Outdoor dance floor,The project entails setting up a heated outdoor dance floor with a stage box connected to electricity in Laugardalur.,Podest do tańczenia,Projekt zakłada stworzenie podgrzewanego podestu do tańczenia  oraz głośnikami na świeżym powietrzu w Laugardalur.
Laugardalur,https://betrireykjavik.is/post/45616,8,,,Ærslabelgur,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í hverfinu.,Jumping pillow,The project entails setting up a jumping pillow in a select location in the neighbourhood.,Poducha dmuchana,Projekt zakłada instalację poduchy dmuchanej w wybranym miejscu w dzielnicy.
Laugardalur,https://betrireykjavik.is/post/45604,8,"64.144840, -21.873614",,Bætt lýsing á stígum í Laugardalnum,Verkefnið felur í sér að bæta lýsingu á stígum í Laugardalnum til að auka aðgengi og öryggi.,Improved lighting on paths in Laugardalur,The project entails improving lighting on paths in Laugardalur to increase accessibility and safety.,Dodanie oświetlenia na ścieżkach w Laugardalur.,"Projekt zakłada oświetlenie ścieżek w Laugardalur, aby były bardziej dostępne i bezpieczne. "
Laugardalur,https://betrireykjavik.is/post/45669,16,"64.140004, -21.864817",,Yfirbyggður grillskáli í Laugardalnum,Verkefnið felur í sér að byggja yfir núverandi grillaðstöðu í Laugardalnum neðan við Sunnuveg.,Covered barbecue pavilion in Laugardalur,The project entails building over the existing barbecue faciltiies in Laugardalur below Sunnuvegur.,Wiata grillowa w Laugardalur,Projekt obejmuje rozbudowę obecnego miejsca do grillowania w Laugardalur poniżej Sunnuvegur.
Laugardalur,https://betrireykjavik.is/post/45629,5,,,Jólaland í Laugardalnum,Verkefnið felur í sér að setja upp aðstöðu fyrir jólamarkað í Laugardal.,Christmas village in Laugardalur,The project entails setting up facilities for a Christmas market in Laugardalur.,Bazar świąteczny w Laugardalur,Projekt zakłada stworzenie Jarmarku Bożonarodzeniowego w Laugardalur.
Laugardalur,https://betrireykjavik.is/post/45638,6,"64.140236, -21.871303",,Aparóla,Verkefnið felur í sér að setja upp aparólu á opnu leiksvæði í hverfinu.,Zip-line swing,The project entails setting up a zip-line swing in an open play area in the neighbourhood.,Tyrolka,Projekt zakłada instalację zjazdu linowego na otwartej przestrzeni w dzielnicy.
Laugardalur,https://betrireykjavik.is/post/45663,15,"64.141516, -21.881018",,Endurbæta hjólabrettasvæðið í Laugardalnum,Verkefnið felur í sér að stækka og endurbæta núverandi hjólabrettaaðstöðu í Laugardalnum.,Renovate skateboard area in Laugardalur,The project entails expanding and renovating the existing skateboard facilities in Laugardalur.,Ulepszenie terenu do jazdy na deskorolce w Laugardalur,Projekt zakłada powiększenie i renowację istniejących obiektów deskorolkowych w Laugardalur.
Laugardalur,https://betrireykjavik.is/post/45619,13,"64.128435, -21.857478",,Almenningsgarður með aðgengi fyrir alla,Verkefnið felur í sér að útbúa lítil dvalarsvæði með mismunandi notkunargildi og aðgengi fyrir alla við Mörkina.,Public park accessible to all,The project entails creating a small rest area with diverse usage and access for all by Mörkin.,Park publiczny z dostępem dla wszystkich,"Projekt zakłada stworzenie w Mörkin małych, dostępnych dla wszystkich terenów rekreacyjnych do różnego użytkowania."
Laugardalur,https://betrireykjavik.is/post/45650,4,,,Fleiri bekki í hverfið,Verkefnið felur í sér að fjölga bekkjum og ruslatunnum við stíga í hverfinu.,More benches in the neighbourhood,The project entails adding benches and trash bins along paths in the neighbourhood.,Zwiększenie ilości ławek w dzielnicy,Projekt zakłada zwiększenia ilości ławek i śmietników przy  ścieżkach w okolicy.
Laugardalur,https://betrireykjavik.is/post/45661,5,"64.138578, -21.869090",,Skákborð,Verkefnið felur í sér að setja upp nokkur útiskákborð og sæti þar sem fólk getur komið saman og teflt.,Chess tables,The project entails setting up a few outdoor chess tables with seats where people can meet and play chess.,Stoły do gry w szachy,"Projekt zakłada ustawienie zewnętrznych szachownic wraz z miejscami do siedzenia, gdzie będzie można grać w szachy."
Laugardalur,https://betrireykjavik.is/post/45606,2,"64.145149, -21.882984",,Bætt lýsing við Laugarnesskóla,"Verkefnið felur í sér að auka lýsingu við gangstétt við Kirkjuteig, upp við Laugarnesskóla",Improved lighting by Laugarnesskóli,"The project entails increasing lighting along the sidewalk by Kirkjuteigur, up to Laugarnesskóli.",Zwiększenie oświetlenia przy Laugarnesskóli,Projekt zakłada instalację oświetlenia chodnika przy  Kirkjuteigur prowadzącego do  Laugarnesskóli.
Laugardalur,https://betrireykjavik.is/post/45653,25,"64.140236, -21.851796",,Sparkvöll við félagsmiðstöð Þróttheima,Verkefnið felur í sér að setja upp afgirtan gervigrasvöll með nýjum mörkum.,Mini football pitch by Þróttheimar community centre,The project entails seting up a fenced artificial turf pitch with new goals.,Boisko do piłki przy klubie Þróttheimar,Projekt zakłada utworzenie ogrodzonego boiska ze sztuczną murawą z nowymi bramkami.
Laugardalur,https://betrireykjavik.is/post/45608,8,"64.136489, -21.872295",,Betra og stærra hundagerði í Laugardalinn,Verkefnið felur í sér að stækka og betrumbæta núverandi hundagerði í Laugardalnum.,Bigger and better dog park in Laugardalur,The project entails expanding and improving the existing dog park in Laugardalur.,Większy i lepszy teren dla psów w Laugardalur,Projekt obejmuje powiększenie i udoskonalenie obecnego terenu dla psów w Laugardalur.
Laugardalur,https://betrireykjavik.is/post/45590,5,"64.138368, -21.868841",,Útgönguleið úr suð-austurenda Fjölskyldu- og Húsdýragarðs,Verkefnið felur í sér að setja upp aðgengileg einstefnuhlið í núverandi girðingu við suð-austurenda Fjölskyldugarðsins. ,Exit from the southeast end of Húsdýragarðurinn Zoo & Park,The project entails setting up an accessible one-way gate in the fence on the southeast end of Húsdýragarðurinn.,Wyjście z pd-wsch krańca Fjölskyldu- og Húsdýragarður,Projekt zakłada zamontowanie bramy wyjściowej w obecnym ogrodzeniu na południowo-wschodnim krańcu Fjölskyldugarður. 
Laugardalur,https://betrireykjavik.is/post/45694,8,"64.145716, -21.859113",,Betri grenndarstöð á horni Kleppsvegar og Hjallavegar,Verkefnið felur í sér að fegra og bæta grenndarstöðina með girðingu og gera svæðið almennt vistlegra með betri frágangi.,Better waste drop-off centre at Kleppsvegur/Hjallavegur,The project entails improving the waste drop-off centre with fencing and making the area nicer with better workmanship.,Lepsze miejsce na śmieci na rogu Kleppsvegur i Hjallavegur,"Projekt polega na renowacji miejsca z pojemnikami na śmieci: ogrodzenie, dogodniejsze i lepiej zorganizowane warunki."
Laugardalur,https://betrireykjavik.is/post/45676,16,,,Parkour völlur,Verkið felur í sér að setja upp varanlegan parkour völl á opnu svæði í hverfinu sem einnig myndi nýtast til annara æfinga.,Parkour park,The project entails setting up a permanent parkour park in an open area that could also be used for other exercise.,Tor parkourowy,"Projekt zakłada stworzenie stałego terenu do parkour, na otwartej przestrzeni, również do innych aktywności."
Laugardalur,https://betrireykjavik.is/post/45634,4,"64.144732, -21.855927",,Trjágróður við Sæbraut,Verkefnið felur í sér að gróðursetja stofntré meðfram Sæbraut. ,Trees on Sæbraut,The project entails planting trees along Sæbraut.,Drzewa na Sæbraut,Projekt zakłada zasadzenie drzew wzdłuż Sæbraut. 
Laugardalur,https://betrireykjavik.is/post/45665,7,"64.144361, -21.884958",,Endurbæta körfuboltavöll við Laugarnesskóla,Verkefnið felur í sér að bæta núverandi körfuboltavöll við Laugarnesskóla með nýju yfirborðsefni og körfum.,Improve basketball court by Laugarnesskóli,The project entails improving the existing basketball court by Laugarnesskóli with a new surface and baskets.,Poprawa boiska do koszykówki w Laugarnesskóli,Projekt zakłada odnowienie obecnego boiska do koszykówki do Laugarnesskóli: nowe nawierzchnie i kosze.
Laugardalur,https://betrireykjavik.is/post/45698,3,,,Upplýsingaskilti um náttúru og skipulag Laugardals,Verkið felur í sér að koma upp skiltum með QR-kóðum sem fræða fólk um náttúru og skipulag Laugardalsins.,Informational signs on nature and layout of Laugardalur,The project entails putting up signs with QR codes that teach people about the nature and layout of Laugardalur.,Tablice informacyjne o przyrodzie i z planem Laugardalur,"Projekt zakłada umieszczanie znaków z kodami QR, informujących o naturze z planem terenu Laugardalur."
Laugardalur,https://betrireykjavik.is/post/45630,18,"64.128548, -21.840085",,Lýsing og fegrun á Geirsnefi,Verkefnið felur í sér að bæta lýsingu við gönguleiðir á Geirsnefi ásamt því að fjölga þar stígum og fegra umhverfi.,Lighting and beautification on Geirsnef,"The project entails improving lighting on walking paths on Geirsnef, adding paths and beautifying the environment.",Oświetlenie i upiększanie Geirsnef,"Projekt zakłada oświetlenie szlaków spacerowych w Geirsnef, zwiększenie liczby ścieżek i upiększenie otoczenia."
Laugardalur,https://betrireykjavik.is/post/45624,2,"64.132796, -21.856381",,Jólaljós á Skeiðarvog,Verkefnið felur í sér að setja upp jólaljós og búnað tengdum þeim á ljósastaura við Skeiðarvog. ,Christmas lights on Skeiðarvogur,The project entails setting up Christmas lights and equipment connected to them on lamp posts on Skeiðarvogur.,Oświetlenie świąteczne,Projekt zakłada zamontowanie lampek świątecznych i ozdób na słupach oświetleniowych w Skeiðarvogur. 
Laugardalur,https://betrireykjavik.is/post/45674,4,"64.147329, -21.895416",,Gróðurbætur við Sæbraut,Verkefnið felur í sér að gróðursetja stofntré meðfram Sæbraut. ,Improved greenery on Sæbraut,The project entails planting trees along Sæbraut.,Zwiększenie roślinności na Sæbraut,Projekt zakłada zasadzenie krzewów wzdłuż Sæbraut. 
Laugardalur,https://betrireykjavik.is/post/45585,3,"64.148631, -21.881057",,Útigrill við Aparóló,Verkefnið felur í sér að setja upp útigrill og aðstöðu í kringum það.,Outdoor barbecues by Aparóló playground,The project entails setting up outdoor barbecues and facilities around them.,Grill przy tyrolce,Projekt zakłada instalację grilla wraz z zapleczem wokół niego.
Laugardalur,https://betrireykjavik.is/post/45632,8,,,Útiæfingatæki nálægt Geirsnefi,Verkefnið felur í sér að setja upp útiæfingatæki í nágrenni við Geirsnef.,Outdoor exercise equipment near Geirsnef,The project entails setting up outdoor exercise equipment near Geirsnef.,Siłownia pod chmurką niedaleko Gerisnefi,Projekt zakłada instalację sprzętu do ćwiczeń w okolicach Gerisnefi.
Laugardalur,https://betrireykjavik.is/post/45693,27,,,Hjólabrettasvæði í Langholtsskólahverfið,Verkefnið felur í sér að setja upp hjólabrettaaðstöðu nálægt Langholtsskóla.,Skateboard park near Langholtsskóli,The project entails setting up skateboard facilities near Langholtsskóli.,Teren do jazdy na deskorolce w dzielnicy szkolnej Langholt,Projekt zakłada utworzenie terenu deskorolkowego w pobliżu Langholtsskóli.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/54554,16,,,Ærslabelgir ,Verkefnið felur í sér að setja upp tvo ærslabelgi á völdum stöðum í Háaleitis- og Bústaðahverfi.,Jumping pillows,The project entails setting up two jumping pillos at select locations in Háaleiti and Bústaðir.,Poduchy dmuchane,Projekt zakłada instalację dwóch dmuchanych poduch w wybranym miejscu w Háaleiti i Bústaðahverfi. 
Háaleiti og Bústaðir,https://betrireykjavik.is/post/54555,10,"64.121874, -21.875529",,Grænt svæði og torg við Grímsbæ,"Verkefnið felur í sér að fegra og bæta svæðið fyrir aftan Grímsbæ, t.d. með gróðri, bekkjum og bæta aðgengi.",Green area and square by Grímsbær,"The project entails improving the area behind Grímsbær, e.g. with greenery, benches and better accessibility.",Zielony teren i plac w  Grímsbær,"Projekt obejmuje upiększenie i ulepszenie terenu za Grímsbær: roślinność, ławki i lepsza dostępność.  "
Háaleiti og Bústaðir,https://betrireykjavik.is/post/29456,5,"64.117982, -21.885263",,Bætt lýsing í Fossvogi,Verkefnið felur í sér að bæta lýsingu við valda göngustíga í Fossvogsdal.,Improved lighting in Fossvogur,The project entails improving the lighting along select walking paths in Fossvogsdalur.,Zwiększenie oświetlenia w Fossvogur,Projekt zakłada instalację oświetlenia przy wybranych alejkach w Fossvogsdalur.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/28638,25,"64.121088, -21.877037",,"Endurgera ""Skrýtna róló"" í Fossvogi ","Verkefnið felur í sér að endurgera leiksvæðið milli Brúnalands og Goðalands í Fossvogi, kallast stundum “Skrýtni róló”. ","Renovate the ""Strange playground"" in Fossvogur","The project entails remaking the play area between Brúnaland and Goðaland in Fossvogur, sometimes called ""Skrýtni róló"".","Renowacja ""Skrýtni róló"" w Fossvogur ","Projekt obejmuje renowację placu zabaw między Brúnaland i Goðaland w Fossvogur, który jest czasami nazywany „Skrýtni róló”. "
Háaleiti og Bústaðir,https://betrireykjavik.is/post/28894,9,"64.117375, -21.868039",,Nýtt gervigras á battavöll við Fossvogsskóla,Verkefnið felur í sér að endurnýja gervigrasið á núverandi battavelli við Fossvogsskóla.,New artificial turf on mini football pitch by Fossvogsskóli,The project entails renewing the artificial turf on the existing mini football pitch by Fossvogsskóli.,Nowa murawa na boisku przy Fossvogsskóli,Projekt zakłada odnowienie sztucznej trawy na obecnym boisku przy Fossvogsskóli.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45293,25,"64.130385, -21.885087",,Útivistarsvæði við Háaleitisbraut og Hvassaleiti,Verkefnið felur í sér að setja upp hljóðmön og gera útivistarsvæði á horni Háaleitisbrautar og Miklubrautar.,Recreational area at Háaleitisbraut and Hvassaleiti,The project entails building a noise barrier and a recreation area on the corner of Háaleitisbraut and Miklabraut.,Teren rekreacyjny przy Háaleitisbraut i Hvassaleiti,Projekt zakłada ustawienie barier dźwiękochłonnych i stworzenie terenu do rekreacji na rogu Háaleitisbraut i Miklabraut.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45368,14,,,Skólahreystisbraut,Verkefnið felur í sér að setja upp skólahreystibraut á völdum stað í Háaleitis- og Bústaðahverfi.,School fitness park,The project entails setting up a school fitness park in a select location in Háaleiti and Bústaðir.,Tor do Skólahreysti,Projekt obejmuje utworzenie szkolnego toru  Skólahreysti w wybranej lokalizacji w  Háaleiti i Bústaðahverfi.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45247,10,"64.129341, -21.888517",,Gróin hverfismiðja fyrir íbúa,Verkefnið felur í sér að fegra og bæta opna svæðið vestan við Grensáskirkju. Dvalarsvæði með bekkjum og gróðri.,Green neighbourhood centre for residents,"The project entails improving the open area west of Grensáskirkja. A rest area with benches, greenery, and more.",Dzielnicowe centrum dla mieszkańców,"Projekt obejmuje upiększenie i ulepszenie otwartej przestrzeni na zachód od Grensáskirkja. Miejsce odpoczynku z ławkami, roślinnością i nie tylko."
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45317,10,"64.120309, -21.878139",,Endurbæta fótboltavöll milli B- og G-landa,Verkefnið felur í sér að endurtyrfa fótboltavöllinn milli Brúnalands og Goðalands í Fossvogi.,Renovate football pitch between B- and G-land,The project entails renewing the turf on the football pitch between Brúnaland and Goðaland in Fossvogur.,Renowacja boiska między strefami B i G,Projekt obejmuje odnowienie murawy boiska piłkarskiego między Brúnaland i Goðaland w Fossvogur.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45385,5,"64.129826, -21.891802",,Betri lýsing á göngustíg milli Hvassaleitis og Kringlu,Verkefnið felur í sér að lýsa upp stíg sem liggur milli Hvassaleitis og Kringlu.  ,Better lighting on walking path from Hvassaleiti to Kringla,The project entails lighting the path that lies between Hvassaleiti and Kringla.,Lepsze oświetlenie ścieżki między Hvassaleiti i Kringlan,"Projekt zakłada oświetlenie ścieżki, która biegnie między Hvassaleiti a Kringlan.  "
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45378,3,,,Fleiri bekki í hverfinu,Verkefnið felur í sér að fjölga bekkjum í Háaleitis- og Bústaðahverfi. ,More benches in the neighbourhood,The project entails installing more benches in Háaleiti and Bústaðir.,Zwiększenie ilości ławek w dzielnicy,Projekt zakłada zwiększenie ilości ławek wybranych miejscach w Háaleiti i Bústaðahverfi. 
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45297,10,"64.117971, -21.852677",,Reiðhjólaskýli og hjólagrindur við Víkingsheimilið,Verkefnið felur í sér að setja upp hjólaboga og reiðhjólaskýli við Víkingssvæðið í Fossvogsdalnum.  ,Bike shelters and bike racks by Víkingsheimilið,The project entails setting up bike racks and bicycle shelters by Víkingsheimilið.,Wiata rowerowa i stojaki Víkingsheimilið,Projekt obejmuje założenie stojaków i wiaty rowerowej w Víkingssvæðið w Fossvogsdalur.  
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45392,25,"64.134435, -21.880413",,Fótboltavöll á svæði við Háaleitisbraut,Verkefnið felur í sér að leggja gervigras á fótboltavöll á opnu svæði við Háaleitisbraut 109-111 og 113-115.,Football pitch on area by Háaleitisbraut,The project entails laying artificial grass on a football pitch in the open area by Háaleitisbraut 109-111 and 113-115.,Boisko piłkarskie w okolicy przy Háaleitisbraut,Projekt zakłada ułożenie sztucznej trawy na boisku  na otwartej przestrzeni przy Háaleitisbraut 109-111 i 113-115.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45340,2,"64.133710, -21.878682",,Frisbígolf við göngustíg í Múlahverfi,Verkefnið felur í sér að setja upp frisbígolfkörfur á grænt svæði milli Fellsmúla og Ármúla.,Frisbee golf by walking path between Fellsmúli and Ármúli,The project entails setting up frisbee golf baskets on the green area between Fellsmúli and Ármúli.,Frisbee przy ścieżce między Fellsmúli i Ármúli,Projekt obejmuje ustawienie koszy do frisbee na zielonym terenie między Fellsmúli i Ármúli.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45262,4,"64.136530, -21.895008",,Trjágöng við Álftamýri,Verkefnið felur í sér að styrkja gróður á opnu svæði milli Álftamýrar og Kringlumýrarbrautar.,Tree alley on Álftamýri ,The project entails boosting the greenery on the open area between Álftamýri and Kringlumýrarbraut.,Tunel drzewny przy Álftamýri,Projekt zakłada zwiększenie roślinności na otwartym terenie między Álftamýri i Kringlumýrarbraut.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45339,5,"64.137073, -21.884631",,Múlagarður - áningarstaður í Múlahverfinu,Verkefnið felur í sér að gera dvalarsvæði á opnu grænu svæði austan við leikskólann Múlaborg (Múlagarður). ,Múlagarður - rest area in Múlahverfi,The project entails making a rest area in the open green area on the east side of Múlaborg preschool (Múlagarður).,Múlagarður - miejsce odpoczynku w Múlahverfi,Projekt zakłada stworzenie miejsca odpoczynku na otwartym terenie zielonym na wschód od przedszkola Múlaborg (Múlagarður). 
